pFat pLiver pSlow kMet fAbs
2.723127425424725629e+02 5.332584742044983983e+01 1.564046731278620150e+00 3.063910841519949457e+01 3.158933229107060425e-01
2.916678944489710261e+02 5.743726498483429310e+01 2.334905742930288852e+01 8.267435968896778320e+01 9.426920695755118818e-01
3.232441473775874670e+02 5.697755797808547840e+01 1.621638073059661878e+01 7.469967444999646489e+01 7.314217056084392210e-01
1.939336506454857272e+02 3.059593923005610350e+01 4.363622633924200755e+01 6.451860436772440721e+01 9.933683327136632046e-01
2.378608214282122617e+02 9.595409242682754325e+01 6.417581395715504300e+01 9.046923655734610747e+01 8.339826445727196447e-01
4.055440113589983184e+02 4.697885246712012020e+01 6.726082658364892097e+01 1.152245585066786333e+02 8.820612371701470611e-01
4.183110013716642470e+02 9.047171521798927074e+01 8.346730969883911655e+01 1.256069112505294356e+02 9.585934902906121380e-01
3.907761828243502578e+02 1.318542732803786635e+02 6.837358967149977218e+01 1.320363661662357231e+02 7.249196996058897557e-01
3.547695281239234646e+02 6.181899815857317293e+01 4.757431163160698873e+01 7.770098638837143312e+01 6.673749453937354303e-01
4.868021280535060100e+02 9.295661938494491494e+01 8.560509951277231266e+01 1.396875569037358957e+02 9.136016089140668317e-01
3.689111238536705741e+02 1.071908900538737583e+02 5.242475280224434542e+00 4.009445723254737004e+01 3.114010042808446621e-01
1.802152434840902799e+02 1.093064634441677754e+02 8.934425364861409946e+01 9.786730818911627239e+01 8.928383590735443631e-01
2.843191339533826749e+02 4.062532431863887439e+01 5.653594000539122533e+01 9.274671935970788184e+01 9.906548219403974453e-01
5.124687112282986163e+02 1.571172391151210945e+02 3.441217427509510429e+01 1.079378221906652442e+02 7.853718878982224316e-01
3.475353237842240333e+02 9.045009075349430816e+01 2.189438882757497495e+01 7.431429246792542642e+01 7.462770827419245023e-01
3.520291322320007907e+02 7.001612278184435922e+01 3.201409268975994848e+01 8.232334649577262553e+01 6.297287441684620291e-01
4.016169593901336725e+02 9.269712619925047647e+01 7.074154145294660623e+01 1.268478205207081828e+02 7.120506302224799411e-01
3.615899215245571554e+02 1.077653150793318133e+02 5.262168684337345326e+01 1.252639202155809812e+02 8.225498030978456443e-01
4.686542866554298143e+02 6.579109499192405508e+01 2.788962576366804669e+01 9.208681853667023631e+01 8.066679593613497179e-01
2.852552145625732578e+02 5.893875535905468865e+01 9.987177020575408903e+01 1.110719507367683008e+02 8.860110744127946969e-01
4.277219636606191671e+02 1.101549734189836585e+02 7.520616179917780642e+01 9.629727104570051210e+01 7.798570036484532286e-01
2.983065959491636363e+02 7.913832239725978468e+01 8.166113700358629046e+01 1.239840138489079493e+02 9.868660765251647815e-01
3.330110291519063708e+02 1.077019589230998520e+02 6.380046890514035596e+01 8.898566091653269439e+01 5.630481790557180233e-01
4.638355347063048271e+02 2.454706713587272873e+02 8.259049812262922785e+01 1.620252785972791401e+02 9.399025315108640033e-01
3.584715763408808016e+02 1.647887939456502977e+02 9.215340212095628658e+01 9.362330676331617951e+01 5.760173441423008800e-01
3.577009288593521887e+02 4.715015673044186428e+01 5.540997823199500516e+01 8.973558851202167830e+01 8.620683197305122336e-01
2.405267294441542560e+02 5.115049226441911401e+01 3.744547874955869560e+01 7.061147260231047085e+01 8.147961816306074079e-01
5.068827225307195476e+02 8.521601586115060911e+01 9.722086260992610107e+01 1.440093714459716807e+02 8.977645550388129170e-01
3.117870616335840737e+02 9.296231163405867903e+01 4.401045800671781194e+01 1.098073201382168520e+02 9.553995587009638246e-01
1.864378374903612610e+02 4.935123879192514806e+01 5.357580235709279748e+01 8.538599410018836977e+01 9.910718531030068279e-01
2.255198071713898855e+02 6.552916966653251052e+01 7.946265534214107618e+01 1.313478909708220215e+02 9.182341901878818824e-01
5.320673455074219191e+02 9.613142067245506439e+01 4.476799791806310935e+01 1.107781064195881839e+02 7.308378496122964751e-01
2.743829385829197349e+02 6.009394611392418994e+01 4.989524458717376376e+01 8.374445161089053613e+01 7.418177459786330363e-01
3.385861292810617442e+02 8.757641607863732247e+01 3.825387389075760325e+01 9.960122514040570252e+01 8.441165451487542271e-01
3.452998969362759567e+02 8.783658680250709949e+01 3.058776771949369078e+01 9.791156721175416067e+01 6.657856930798687900e-01
3.864047194246976460e+02 3.874687803449438661e+01 7.316778333430417547e+01 1.254366522306875567e+02 9.390302242606886063e-01
5.416624286583285084e+02 2.052567298237552507e+02 3.781733931327147502e+01 1.357417854983003451e+02 7.079240543686065035e-01
3.914004734762619364e+02 1.822049093764812255e+02 9.081857884080005761e+01 1.253104777108531209e+02 7.463201328296743542e-01
2.316949761738351867e+02 9.413576032854003017e+01 6.181380849268222732e+01 9.681887327507841690e+01 8.137053722765024144e-01
3.307716476672766817e+02 1.184409713309675709e+02 5.562881296152907851e+01 1.298563285608265687e+02 8.425234944002795157e-01
3.492418658482654337e+02 1.138197697895483884e+02 1.772424356919895061e+01 1.154914198538663896e+02 7.510842354296922707e-01
3.911570873939962780e+02 1.899921408901309690e+02 4.400206851040943690e+01 1.550995988121833307e+02 8.630131637716645931e-01
2.849905625182413473e+02 8.646147218896659581e+01 9.225133386522476542e+01 9.432105578829960280e+01 7.718377941913127094e-01
3.835639411150148703e+02 1.347161423287621176e+02 4.382616188483770969e+01 6.890722808351115702e+01 5.552573992213706289e-01
2.664750552982992531e+02 8.589687797121980850e+01 7.403050667748453861e+01 1.205705179184003555e+02 8.049942019127074300e-01
3.330110291519063708e+02 1.077019589230998520e+02 6.380046890514035596e+01 8.898566091653269439e+01 5.630481790557180233e-01
3.508632576105294447e+02 7.918199284818061301e+01 2.947095481383441040e+01 8.857214561324225599e+01 9.687860486496151502e-01
1.810775894051656394e+02 4.496351498862747320e+01 3.561001006085213305e+01 5.280401605148790622e+01 6.672947053177582521e-01
4.051757662791742973e+02 1.443581756391275519e+02 7.804836820594570668e+01 1.681494126989840368e+02 9.855033071275448586e-01
4.769906834189254710e+02 9.478936630053432566e+01 5.556522497356925783e+01 9.389757071515963105e+01 5.952136991954681822e-01
5.480147977094721909e+02 6.212752251746666587e+01 5.390367776739382322e+01 1.324758442318242260e+02 9.626415555827674275e-01
4.634592998093166329e+02 6.994390244748302621e+01 8.601337197759184505e+01 1.425660580986857440e+02 9.871151164375352449e-01
3.283308550145143840e+02 7.632727837375524871e+01 3.481887955350175190e+01 6.449604589127619647e+01 3.811333239050137545e-01
4.699503423304484500e+02 1.323528517694624327e+02 3.655577388405200168e+01 1.365553358831784010e+02 8.746009512989358914e-01
4.232523728363922828e+02 1.044840717110797641e+02 9.058502672422720536e+01 1.143723797932579060e+02 8.170949898081519835e-01
4.530341477418593854e+02 1.653740988517980952e+02 3.278072041067817111e+01 1.332627618024958736e+02 8.722054141335531252e-01
3.506120031371034429e+02 8.716654343987015352e+01 6.067096321931038005e+01 1.152462751572286095e+02 9.859494206742109856e-01
4.618050018248339939e+02 1.285877601745796710e+02 9.781164389204688803e+01 1.278215574937307508e+02 5.777651758757967881e-01
4.061261804928130914e+02 1.248542589772369666e+02 7.690274534867978673e+01 1.193957846657099111e+02 8.235229559567686097e-01
5.230072793743694319e+02 5.537199445671709697e+01 7.358573818732834582e+01 1.255703656170966838e+02 9.677773556081266104e-01
3.152934391303061261e+02 5.963424056403859197e+01 3.347771014148958102e+01 9.566932370081669035e+01 9.903941643445817178e-01
2.338779728241680118e+02 6.863927969666357853e+01 3.245753318230428874e+01 7.374147754729747817e+01 7.475779779094227084e-01
5.620527737224283555e+02 9.377351579316224672e+01 3.763845641643664663e+01 1.120168616652828177e+02 8.141654419716635172e-01
3.754391686812533067e+02 1.231340305531453225e+02 9.855897969111467205e+01 9.667813690600245025e+01 6.196621352230117230e-01
3.260631002883648648e+02 1.068910777393851674e+02 4.478032472371515382e+01 1.465816675860815508e+02 9.709649640945032800e-01
2.384625893685822859e+02 9.001491482922483556e+01 9.313000732783598323e+01 1.003245534345135610e+02 9.957359869995966450e-01
4.582199573922325158e+02 1.082014104214092782e+02 4.638021315507793219e+01 1.077675332091107236e+02 8.795019115620636985e-01
