logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.012081266012004107e+03 -1.018073980298695460e+03 1.629999999999999893e+00
-1.018073980298695460e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.514871176803978869e+02 -9.574823319670891806e+02 1.324999999999999956e+00
-9.574823319670891806e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.161509639216101277e+02 -7.221486782083014759e+02 1.300000000000000044e+00
-7.221486782083014759e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.007073424025447821e+02 -7.067075566892360712e+02 1.475000000000000089e+00
-7.067075564924447235e+02 8.558429975231169351e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -6.859345539286127860e+02 -6.919372682153041296e+02 1.354999999999999982e+00
-6.919372678304065403e+02 4.119571134199274454e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -6.767253566356604324e+02 -6.827305709223517169e+02 4.849999999999999867e-01
-6.827304705623770360e+02 7.418299114085741053e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -6.279042445725378911e+02 -6.339119588592292303e+02 1.810000000000000053e+00
-6.339119588592292303e+02 2.686792743538756412e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -5.890401618761530926e+02 -5.950503761628443726e+02 2.149999999999999967e-01
-5.950503761628443726e+02 2.869333263831782332e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -5.825788712328921974e+02 -5.885915855195835320e+02 1.350000000000000089e+00
-5.885900200563094131e+02 3.019064296125389646e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -5.700301937380014579e+02 -5.760454080246927333e+02 1.745000000000000107e+00
-5.760454044606456137e+02 1.609495994755953063e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -5.279654814638666949e+02 -5.339831957505580249e+02 1.735000000000000098e+00
-5.339831957505580249e+02 1.503512588567187791e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -5.025568123713981095e+02 -5.085770266580894372e+02 4.099999999999999756e-01
-5.085770266580801717e+02 1.184920541924499560e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -5.001688171412487236e+02 -5.061915314279400491e+02 9.200000000000000400e-01
-5.061034808209745961e+02 7.858913688311980117e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -4.986395353415822456e+02 -5.046647496282735688e+02 2.849999999999999756e-01
-5.044518757781694376e+02 1.618487598657295745e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -4.965926803357057224e+02 -5.026203946223970433e+02 7.950000000000000400e-01
