weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.012081266012004107e+03 5.415292246638119877e+02 9.603747274097097488e+02 9.432887753817863086e+01 5.777087943771082337e+02 1.669548730143244342e-03
0.000000000000000000e+00 -9.514871176803978869e+02 5.386888043681102545e+02 7.686395077729820287e+02 6.345477469007233395e+01 7.350790856643033067e+02 3.081824856533854629e-03
9.478960202954428474e-305 -7.161509639216101277e+02 4.962026839938988019e+02 7.222429322818298942e+02 4.561453384294826208e+01 3.779790430598830540e+02 4.020567014299425423e-03
4.816755145963074511e-298 -7.007073424025447821e+02 3.296939236020227071e+01 4.386567366322063322e+02 5.742642504792269165e+01 7.936331783718329689e+02 3.690181380581958326e-02
1.251438035025443155e-291 -6.859345539286127860e+02 2.870847622314807950e+02 1.043856918864252208e+02 7.154916988694769486e+01 6.057362430717572579e+02 1.710359754976731317e-02
1.246887241853253055e-287 -6.767253566356604324e+02 1.055129381511413129e+02 8.406554624986306408e+02 5.656338258044853973e+01 3.046504065985167813e+02 6.964941604261531971e-03
1.983722934821306721e-266 -6.279042445725378911e+02 3.570726076975910246e+02 9.002384108776162748e+02 5.804641152312761676e+00 8.266934943118425281e+02 1.685361156242282110e-02
1.495725636706211890e-249 -5.890401618761530926e+02 5.013615563232444288e+02 3.902717244265999739e+02 3.144888699086459383e+01 7.121432666343976052e+02 1.806804408291273756e-02
9.547047287038474872e-247 -5.825788712328921974e+02 7.013546410611681381e+01 2.252053910628442566e+02 1.272745049383896188e+01 8.083858172451351720e+02 5.578267477753884318e-02
2.682901502344847098e-241 -5.700301937380014579e+02 4.506752352879934165e+02 4.385781202541484163e+02 4.120093217057679880e+01 9.579088074958243624e+02 2.767940724003281616e-02
4.965825061649578025e-223 -5.279654814638666949e+02 3.663627816441077698e+02 9.911232377231256123e+02 8.620406258839889801e+01 8.891334275239619274e+02 2.745637564306135925e-02
5.367233123872970114e-212 -5.025568123713981095e+02 2.658260416799115546e+02 4.666308215526210574e+02 1.721402177943509670e+01 7.556412662991750722e+02 3.847038270542590954e-02
5.831199153624100662e-211 -5.001688171412487236e+02 1.187713938830074341e+02 5.405920436722238946e+02 2.064301120338448214e+01 6.711686095713853319e+02 4.697683811226527339e-02
2.684298352582572044e-210 -4.986395353415822456e+02 3.797614931163727761e+02 4.736693232823984090e+01 7.841073371714603013e+01 4.338778271093252670e+02 3.249196329125281224e-02
2.073398991473193758e-209 -4.965926803357057224e+02 2.858921180690910546e+02 1.354029732785682540e+02 7.845686319527023045e+01 8.884628831372004925e+02 6.091934945959143199e-02
1.396280328091620266e-207 -4.923803876429428215e+02 3.082207607177752493e+02 9.770708687277478433e+00 4.262038916027421465e+01 9.512083637266626965e+02 1.678349074881828606e-01
9.983389464119546998e-204 -4.835030214979032621e+02 4.116973317821846194e+02 2.967633909795852176e+01 8.696842797338916853e+01 7.146082770386026368e+02 7.216606044420537103e-02
5.311514028202530356e-196 -4.657108864899433911e+02 4.442962693581692690e+01 1.286381945160925966e+02 5.252284183166415943e+01 7.845929213199170817e+02 1.400391555359614681e-01
