weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -7.710382264242143719e+02 3.041071040396112757e-01 6.466818835354548600e-02 7.104799278140325747e-01 3.614407506671384329e-01 1.450573857796677579e-03
6.776384347234733926e-265 -6.207773128489224064e+02 7.025875610080701827e-01 4.329665710811325674e-02 4.197084051199998500e-01 8.692382585314463173e-01 6.157075433382286356e-03
9.085355502504975120e-258 -6.043634970437590255e+02 8.782211527971066634e-01 4.856414871797820609e-02 4.554544002959322047e-01 3.577859099874836080e-01 2.583438638337876014e-03
6.280357397025127703e-229 -5.379552662895097228e+02 1.419522498949873368e-01 2.915547528705011437e-01 9.923813481417512739e-01 6.002149541563812640e-01 5.272017481934843097e-03
5.761851088013518923e-139 -3.308062760167342731e+02 6.627496292243678644e-01 9.026601406323832011e-01 8.476790449318708509e-01 9.622105473264710440e-01 1.456936876939607384e-02
3.006300388867571392e-116 -2.784948674542965819e+02 7.075556486139444878e-02 3.828469546331230156e-01 4.046813835321058095e-01 6.343829142842744018e-01 2.859622246200443918e-02
4.094839684987411570e-116 -2.781833501028241926e+02 6.387369729530577578e-01 1.266176170736225126e-01 1.031673032968882797e-01 7.732464316825868877e-01 3.330169991474196678e-02
6.215814599346703586e-114 -2.731583106981489664e+02 5.343996207866451575e-01 2.177770252498610892e-01 5.898747636571756159e-01 6.375722067002508320e-01 2.302588580992459555e-02
1.502975619683435612e-106 -2.561547798509200788e+02 3.616513516127778383e-01 7.709258740964800571e-01 7.682034203414908058e-01 3.896924703193984652e-01 1.261577122954682384e-02
3.713504019573202146e-106 -2.552477508299088242e+02 5.878137562538284788e-01 9.458411718439779792e-01 6.022639079440412768e-01 9.189210000747709550e-01 2.469729308293211467e-02
4.540965468256014229e-85 -2.066898001399313785e+02 1.367044874256591047e-01 9.486938736895694779e-01 4.165738049761413819e-02 2.222085967202392931e-01 1.513248097596631148e-02
7.316083680067766452e-78 -1.900922689682072360e+02 9.130263200417281233e-01 5.033606537048267437e-01 6.562106327933325822e-01 6.253406156040525188e-01 2.986487184028430164e-02
1.430488557587649586e-75 -1.848140728230558807e+02 3.566901168230365293e-01 9.551050487865074823e-01 3.025344888436214408e-01 7.098502990683930314e-02 6.926595153378123371e-03
8.890112211755836540e-75 -1.829846491859508717e+02 2.310384762811703574e-01 5.541705444637078370e-01 7.554200597198057476e-02 9.100412016929082526e-01 8.065939626235829607e-02
1.854989547518820083e-73 -1.799440396103709077e+02 1.680939951986826220e-01 8.014638814276578982e-01 2.932265136507665737e-01 3.177063618380466803e-01 2.410697599685274195e-02
7.688433687180283014e-69 -1.693093612186769974e+02 2.823227929898637356e-01 5.874506387872263646e-01 4.910554466813547014e-01 8.449198040113833352e-01 6.453957537475540907e-02
2.527721627082963503e-62 -1.543011642943668562e+02 3.202547002207323246e-01 1.451311511143421606e-01 3.946899664913507966e-01 9.589931835476213084e-01 1.242698992324468010e-01
2.646745664685513676e-60 -1.496474816284676592e+02 7.058642233402456778e-01 3.770165343018572202e-02 7.313227344517233552e-01 2.636237414210010899e-01 4.402702221340359934e-02
1.494708480001238619e-59 -1.479137961785634161e+02 6.581284235563811258e-03 1.069073175162491562e-01 7.561615953280709235e-02 7.809862354408162455e-01 2.181810000338314515e-01
6.058725694693437817e-59 -1.465117278731717931e+02 7.851937945891296344e-02 1.556495586395341135e-01 2.708022288259178678e-01 8.674924356948857662e-01 1.646942144337152358e-01
2.068603640666405447e-58 -1.452812684668166412e+02 4.814199022479319634e-01 5.948016001361037253e-01 8.016825851975106776e-02 7.948425081473146081e-01 7.553823265556447453e-02
3.397618864310802323e-58 -1.447825674244955678e+02 4.470749387858964363e-01 9.506061885310663762e-01 7.302026611272165457e-01 8.959106303162219787e-01 6.639187945402935664e-02
2.218013046587719627e-55 -1.382987752267094663e+02 4.402031724515697020e-01 8.210494863736049753e-01 1.004284190352260353e-01 3.076845516548927240e-01 2.901949120759761414e-02
