"","pFat_median","pLiver_median","pSlow_median","kMet_median","fAbs_median","pFat_p5","pLiver_p5","pSlow_p5","kMet_p5","fAbs_p5","pFat_p95","pLiver_p95","pSlow_p95","kMet_p95","fAbs_p95","congener","congener_id"
"theRes...1",448.165840901894,57.5358789602817,767.562098302828,648.272702596652,0.132440969121186,215.669957235263,27.59208385201,230.949796677775,261.310264654874,0.0429750109779084,830.011381370529,110.833168539271,975.871300302899,955.457937099198,0.302360692258281,"2,3,7,8-TCDF",1
"theRes...2",175.739319272139,30.986132946076,764.515746679875,725.577638161204,0.328956759525344,88.8234791830309,16.3627228678188,369.599228885049,323.334147952196,0.121951254787584,351.51777121853,61.3133361078802,972.133757133502,971.349604017042,0.647324848472043,"1,2,3,7,8-PeCDF",2
"theRes...3",540.981702766587,211.923959131508,113.240094881723,168.320868837156,0.817421624950709,290.413414044954,108.725990726603,17.3570523414129,85.5926228635822,0.447536468074482,893.102686976943,406.398557119469,284.529218860766,290.1723700778,0.983531729529191,"2,3,4,7,8-PeCDF",3
"theRes...4",385.737987845848,306.654670145275,299.856862844263,261.408166111178,0.771638213747381,196.029131574907,154.209066590781,108.770614809091,110.011111667088,0.336254572270348,719.112185808498,613.636652037712,566.890750683941,455.572700053249,0.976989615395722,"1,2,3,4,7,8-HxCDF",4
"theRes...5",164.864974262363,69.4511175460039,99.6870658641534,127.746753646457,0.772315619544231,85.9425364603857,34.7590676802986,21.8797399162448,52.4528242107891,0.332298392079572,311.425484792678,133.230299795409,248.120679575711,233.811165147343,0.981916061046884,"1,2,3,6,7,8-HxCDF",5
"theRes...6",371.197761477792,222.002119660174,286.192870333849,358.968127284092,0.765916880547908,196.045806543299,117.301581954457,72.158154247592,154.58067330942,0.333694410268744,684.63548447941,434.5305892845,627.261161812286,638.279661495479,0.977712755259102,"2,3,4,6,7,8-HxCDF",6
"theRes...7",117.318199422294,22.4373751540314,768.25132185891,515.381876680981,0.515900370347929,61.387993252152,11.5704030496215,184.73065203974,183.339925969526,0.167513567712269,232.0103054846,43.082440595347,980.779079229094,897.67805096107,0.924408759988947,"1,2,3,7,8,9-HxCDF",7
"theRes...8",142.821916162752,259.564165348644,657.039910430864,757.383874038193,0.425699017585268,74.3606659769109,135.268818506918,312.7830952458,309.782093577225,0.156712620959905,280.031070184822,508.27981579662,900.238358643984,976.712415003324,0.772652959556449,"1,2,3,4,6,7,8-HpCDF",8
"theRes...9",126.803039009914,226.593408694075,312.334939057085,737.928408688477,0.561133951624392,66.2170006785215,117.812303489961,114.736568383231,321.537010754028,0.210891499886238,244.172311579796,431.333212324631,602.189412331128,974.549588293693,0.908682690218632,"1,2,3,4,7,8,9-HpCDF",9
"theRes...10",127.962040445745,802.332548825647,587.41356798122,794.66873034306,0.0321636065012777,66.8165871587736,513.448573970858,322.327208090372,374.350670669293,0.0131076676104479,241.515135482826,979.332852659486,773.64912906343,981.203889264701,0.0566596625735934,"OCDF",10
"theRes...11",435.895568631952,40.3427388273651,100.46395332884,209.79159754978,0.83258976823124,245.57456381144,19.7742164574458,21.8423532422304,105.035804607098,0.490417125224292,758.908841433454,77.7736055331898,222.957788524067,358.834422450658,0.986137296216137,"2,3,7,8-TCDD",11
"theRes...12",339.051444800692,66.9948596667494,74.3230486553527,142.117356417968,0.818655040413549,178.55050926941,34.3345468847267,13.4693733305849,72.4547386931165,0.474959768045884,643.124745010745,130.931323673777,193.415898891182,246.210428233353,0.981104229217671,"1,2,3,7,8-PeCDD",12
"theRes...13",320.508371919676,377.891822432679,208.17438359943,351.36621380143,0.773346543957212,164.281815076804,188.021138958838,57.4192492127964,155.711752441834,0.368772474526875,601.488857256874,707.208521460414,486.837163218458,607.617305163819,0.979688778599048,"1,2,3,4,7,8-HxCDD",13
"theRes...14",133.190250686521,42.7205712492492,23.9967305546976,37.5326377153378,0.806182682054319,69.7188272588188,21.5653132165277,3.72354743978462,18.2805795996888,0.424839772476889,251.732955097228,85.0954933074892,69.9349960474844,67.0816970157625,0.982941698838789,"1,2,3,6,7,8-HxCDD",14
"theRes...15",178.893858770894,102.135136048891,137.799664771507,236.528976499154,0.770686184789972,92.2816914343233,51.8246422080472,38.3997370551935,104.208452461568,0.346685741488493,347.296824491036,199.67831250884,306.294226966703,430.306985596382,0.980110299457382,"1,2,3,7,8,9-HxCDD",15
"theRes...16",100.100665309349,342.711133019672,707.620768718325,413.549859901745,0.628813243643433,51.022940735463,177.363906025836,288.220328986727,163.253600252033,0.230077323151865,192.418171717928,656.419415774897,965.969657578615,666.441775842095,0.954341318091874,"1,2,3,4,6,7,8-HpCDD",16
"theRes...17",12.2116277042531,102.234681755674,596.875673729158,316.223867793673,0.695516000541116,10.1747434420108,56.2419199873084,248.462624763865,125.219143263561,0.258031211740377,19.4795907684515,189.030674845846,923.760656148238,500.33739074509,0.966665507917041,"OCDD",17
"theRes...18",789.128970411965,89.820736513853,493.597499494926,625.411689712753,0.733565983064873,491.106128790461,48.2050452925914,71.1313598402794,275.726696518569,0.332785316408919,982.826410288324,161.806302162613,904.816429636911,927.241100622516,0.968973737414807,"PCB 81",18
"theRes...19",207.146238630572,37.536337643519,782.48091705442,378.408773556674,0.0964203672584692,101.887686388132,17.7063164628388,347.110421980233,143.293829086852,0.0324902323982152,407.412049755973,73.9875298894621,981.748780053289,696.308371514821,0.227235366809105,"PCB 77",19
"theRes...20",540.457114980867,92.8795814002036,32.0039441782951,53.1445944221955,0.863441753076699,299.493270713213,48.6985684731401,3.9873612130368,30.2804999667867,0.577239921445693,874.713809974895,180.624983089631,101.029653407498,85.8448740995741,0.98825424675721,"PCB 126",20
"theRes...21",317.443145016312,32.8963460659379,6.62152567908904,17.1287029228494,0.916445284069696,183.066992480921,17.4479762681155,1.39654569476723,10.7288236679338,0.700863611807558,578.327528662206,64.0498246876479,29.2951703416491,27.6023569830294,0.993679970702288,"PCB 169",21
"theRes...22",497.635436584299,37.4668510631334,67.2688436100269,78.2392456352001,0.818183770780824,263.997662341226,19.9980476993067,9.95837580697786,39.9137154405729,0.487759533687456,852.201016894163,72.1531974355077,168.203173105621,134.184044732069,0.985546181182812,"PCB 123",22
"theRes...23",322.982535724419,36.2927687427406,11.9976540585528,19.8856952299139,0.872681642036397,182.598126751604,18.8418499835551,1.83828751293052,11.6657515739372,0.602711118743259,567.214958781323,70.676881060464,44.8993271880065,32.6824789771125,0.98990295846648,"PCB 118",23
"theRes...24",499.550183480604,34.0701742144202,44.7610271970167,45.1487442211089,0.837216561833233,264.982894534351,17.561275855208,6.40893838309812,23.8529169369854,0.503579976428641,857.030003746357,68.3368729186031,135.172253388819,76.657898096401,0.987079050745135,"PCB 114",24
"theRes...25",689.930397780656,78.2295059792504,57.9093082842672,111.30205856563,0.863541820461238,413.030789217891,41.20454580427,6.82789689186987,62.5705381528915,0.567797577576157,950.735511438984,147.949130379724,156.055414574341,175.416912050706,0.987338651199996,"PCB 105",25
"theRes...26",211.019996187294,21.5810916968337,6.1436957638492,11.9288539652522,0.889787458512494,119.210828940699,11.3128322473902,1.42900377829485,7.25605310991335,0.655807968699562,368.424791357136,42.2091554917093,22.6935150050496,19.6380170103775,0.991018182191499,"PCB 167",26
