"","pFat_median","pLiver_median","pSlow_median","kMet_median","fAbs_median","pFat_p5","pLiver_p5","pSlow_p5","kMet_p5","fAbs_p5","pFat_p95","pLiver_p95","pSlow_p95","kMet_p95","fAbs_p95","congener","congener_id"
"theRes...1",448.165840901894,57.5358789602817,767.562098302828,648.272702596652,0.132440969121186,215.669957235263,27.59208385201,230.949796677775,261.310264654874,0.0429750109779084,830.011381370529,110.833168539271,975.871300302899,955.457937099198,0.302360692258281,"2,3,7,8-TCDF",1
"theRes...2",176.063082022695,31.143293572636,764.888828755361,724.005488140425,0.326455586430461,88.8234791830309,16.1730389256161,372.732582057834,323.334147952196,0.123235427878907,351.971164248674,60.6949651099874,971.610748035406,971.027330082048,0.649121828365063,"1,2,3,7,8-PeCDF",2
"theRes...3",540.981702766587,211.923959131508,113.240094881723,168.320868837156,0.817421624950709,290.413414044954,108.725990726603,17.3570523414129,85.5926228635822,0.447536468074482,893.102686976943,406.398557119469,284.529218860766,290.1723700778,0.983531729529191,"2,3,4,7,8-PeCDF",3
"theRes...4",385.737987845848,306.654670145275,299.856862844263,261.408166111178,0.771638213747381,196.029131574907,154.209066590781,108.770614809091,110.011111667088,0.336254572270348,719.112185808498,613.636652037712,566.890750683941,455.572700053249,0.976989615395722,"1,2,3,4,7,8-HxCDF",4
"theRes...5",164.864974262363,69.4511175460039,99.6870658641534,127.746753646457,0.772315619544231,85.9425364603857,34.7590676802986,21.8797399162448,52.4528242107891,0.332298392079572,311.425484792678,133.230299795409,248.120679575711,233.811165147343,0.981916061046884,"1,2,3,6,7,8-HxCDF",5
"theRes...6",371.197761477792,222.002119660174,286.192870333849,358.968127284092,0.765916880547908,196.045806543299,117.301581954457,72.158154247592,154.58067330942,0.333694410268744,684.63548447941,434.5305892845,627.261161812286,638.279661495479,0.977712755259102,"2,3,4,6,7,8-HxCDF",6
"theRes...7",97.7822582675709,17.0356341716322,805.111862148878,388.817922367611,0.357166506225417,50.018943632715,8.73364051416499,362.573218557041,124.860685589222,0.111115644555125,185.454263253227,33.755416234352,982.682320000404,810.398559706721,0.830073606608955,"1,2,3,7,8,9-HxCDF",7
"theRes...8",142.821916162752,259.564165348644,657.039910430864,757.383874038193,0.425699017585268,74.3606659769109,135.268818506918,312.7830952458,309.782093577225,0.156712620959905,280.031070184822,508.27981579662,900.238358643984,976.712415003324,0.772652959556449,"1,2,3,4,6,7,8-HpCDF",8
"theRes...9",119.284603608912,205.681929357443,328.835642455504,751.573832107474,0.520548150253371,62.0960965145569,105.620929274669,128.833458631111,334.959203366889,0.211702832559921,237.322001992019,400.426511673947,628.318325795427,978.680742349376,0.897412943478862,"1,2,3,4,7,8,9-HpCDF",9
"theRes...10",127.962040445745,802.332548825647,587.41356798122,794.66873034306,0.0321636065012777,66.8165871587736,513.448573970858,322.327208090372,374.350670669293,0.0131076676104479,241.515135482826,979.332852659486,773.64912906343,981.203889264701,0.0566596625735934,"OCDF",10
"theRes...11",435.895568631952,40.3427388273651,100.46395332884,209.79159754978,0.83258976823124,245.57456381144,19.7742164574458,21.8423532422304,105.035804607098,0.490417125224292,758.908841433454,77.7736055331898,222.957788524067,358.834422450658,0.986137296216137,"2,3,7,8-TCDD",11
"theRes...12",339.051444800692,66.9948596667494,74.3230486553527,142.117356417968,0.818655040413549,178.55050926941,34.3345468847267,13.4693733305849,72.4547386931165,0.474959768045884,643.124745010745,130.931323673777,193.415898891182,246.210428233353,0.981104229217671,"1,2,3,7,8-PeCDD",12
"theRes...13",320.508371919676,377.891822432679,208.17438359943,351.36621380143,0.773346543957212,164.281815076804,188.021138958838,57.4192492127964,155.711752441834,0.368772474526875,601.488857256874,707.208521460414,486.837163218458,607.617305163819,0.979688778599048,"1,2,3,4,7,8-HxCDD",13
"theRes...14",133.735168269974,40.2322700906656,31.3540206049371,45.3783402840864,0.784459903316469,69.9910911217702,21.1515549626511,5.31065298931494,20.7312238196804,0.387665304532761,254.990439160603,77.4738618943212,91.730177916058,81.4924144951773,0.980540455507632,"1,2,3,6,7,8-HxCDD",14
"theRes...15",178.893858770894,102.135136048891,137.799664771507,236.528976499154,0.770686184789972,92.2816914343233,51.8246422080472,38.3997370551935,104.208452461568,0.346685741488493,347.296824491036,199.67831250884,306.294226966703,430.306985596382,0.980110299457382,"1,2,3,7,8,9-HxCDD",15
"theRes...16",100.100665309349,342.711133019672,707.620768718325,413.549859901745,0.628813243643433,51.022940735463,177.363906025836,288.220328986727,163.253600252033,0.230077323151865,192.418171717928,656.419415774897,965.969657578615,666.441775842095,0.954341318091874,"1,2,3,4,6,7,8-HpCDD",16
"theRes...17",11.8840930960752,90.1484614169066,639.186046911805,338.333793094804,0.629660091881602,10.1418130389124,50.4000982140956,267.022099458704,132.015292220467,0.229527155597937,18.1075373717296,166.768265071609,950.999328264345,548.473082181057,0.952152529562774,"OCDD",17
"theRes...18",789.128970411965,89.820736513853,493.597499494926,625.411689712753,0.733565983064873,491.106128790461,48.2050452925914,71.1313598402794,275.726696518569,0.332785316408919,982.826410288324,161.806302162613,904.816429636911,927.241100622516,0.968973737414807,"PCB 81",18
"theRes...19",195.845372076465,33.1214045524687,771.565213813785,330.071986736656,0.0769779201715258,96.9010936109444,16.4890647987964,321.727477091247,124.231909277742,0.0250679955129596,386.778582725816,66.1189286492713,983.319274807539,629.982900125636,0.186340897365775,"PCB 77",19
"theRes...20",540.457114980867,92.8795814002036,32.0039441782951,53.1445944221955,0.863441753076699,299.493270713213,48.6985684731401,3.9873612130368,30.2804999667867,0.577239921445693,874.713809974895,180.624983089631,101.029653407498,85.8448740995741,0.98825424675721,"PCB 126",20
"theRes...21",335.163199161037,29.7487959449382,8.92611287825698,19.1770807877024,0.89719361548099,185.169563273972,15.2295579573684,1.58832459014612,11.5410027205622,0.641942045580391,588.618607291479,57.4522766181261,37.9588042431265,31.2438183364676,0.991771058664113,"PCB 169",21
"theRes...22",456.582217046388,32.8898192243327,59.7850677956458,66.5817596639993,0.815755551485741,238.035308935794,16.7683668875345,10.2921647487547,34.2091504461252,0.471497955986534,803.167672986011,65.7207273565043,151.742173884269,117.710565794734,0.984395554435564,"PCB 123",22
"theRes...23",322.982535724419,36.2927687427406,11.9976540585528,19.8856952299139,0.872681642036397,182.598126751604,18.8418499835551,1.83828751293052,11.6657515739372,0.602711118743259,567.214958781323,70.676881060464,44.8993271880065,32.6824789771125,0.98990295846648,"PCB 118",23
"theRes...24",499.550183480604,34.0701742144202,44.7610271970167,45.1487442211089,0.837216561833233,264.982894534351,17.561275855208,6.40893838309812,23.8529169369854,0.503579976428641,857.030003746357,68.3368729186031,135.172253388819,76.657898096401,0.987079050745135,"PCB 114",24
"theRes...25",644.681865499031,64.9094134329106,90.6106954239301,124.1882322976,0.816463450891932,374.284360249108,33.3980595785979,15.7661904770535,62.4255001476469,0.47275104880184,940.680625193895,121.798101937193,223.365016215313,211.307716989604,0.983440077200668,"PCB 105",25
"theRes...26",205.574904004687,18.6008167931439,7.57392762273869,11.8991181834938,0.869969372509075,111.411905974764,9.66786203428526,1.60388524503151,6.92466881959662,0.604876104201226,361.375314943284,35.9050417102956,24.8217679167672,19.5513511172347,0.989074725883826,"PCB 167",26
"theRes...27",409.588273783071,29.2468625446824,16.3578031652019,22.985776173738,0.866525931285408,226.086536602578,14.7175633697585,2.13772936226847,13.0929713884201,0.595728037739944,709.327926411947,57.0828261224868,61.0650397511437,38.0001063783614,0.987581131889597,"PCB 156",27
"theRes...28",352.95027811177,27.4770682284194,14.1885371974944,21.539794695379,0.861852935308453,198.360805094516,14.1849928050126,1.95068668079994,12.6486636765712,0.594731728402422,637.994641534189,53.6259799716938,54.288107837844,36.0834675848207,0.988730759461742,"PCB 157",28
"theRes...29",414.538665530615,23.8656354145648,12.5175472392694,24.5651476040223,0.899527548654587,241.423042277216,12.347820892872,1.83922042796706,14.9144722291387,0.664963192250612,713.106932557919,44.8175934332282,46.8219499016095,39.9772247232661,0.993072252364318,"PCB 189",29
"theRes...30",507.055738405281,106.082642157173,128.476128496331,131.142783381503,0.788043485806003,273.337111381609,52.9287607722724,30.802309481136,62.3429234312024,0.434703993319895,854.18395489935,201.786822255288,285.530669566702,223.449276604183,0.979966679482832,"TEQ2005",30
