Compound,tef2005,tef2022
"2,3,7,8-TCDF",0.1,0.07
"1,2,3,7,8-PeCDF",0.03,0.01
"2,3,4,7,8-PeCDF",0.3,0.1
"1,2,3,4,7,8-HxCDF",0.1,0.3
"1,2,3,6,7,8-HxCDF",0.1,0.09
"2,3,4,6,7,8-HxCDF",0.1,0.1
"1,2,3,7,8,9-HxCDF",0.1,0.2
"1,2,3,4,6,7,8-HpCDF",0.01,0.02
"1,2,3,4,7,8,9-HpCDF",0.01,0.1
OCDF,0.003,0.002
"2,3,7,8-TCDD",1,1
"1,2,3,7,8-PeCDD",1,0.4
"1,2,3,4,7,8-HxCDD",0.1,0.09
"1,2,3,6,7,8-HxCDD",0.1,0.07
"1,2,3,7,8,9-HxCDD",0.1,0.05
"1,2,3,4,6,7,8-HpCDD",0.01,0.05
OCDD,0.003,0.001
PCB 81,0.0003,0.006
PCB 77,0.0001,0.0003
PCB 126,0.1,0.05
PCB 169,0.03,0.005
PCB 138,0.00003,0.00003
PCB 123,0.00003,0.00003
PCB 118,0.00003,0.00003
PCB 114,0.00003,0.00003
PCB 105,0.00003,0.00003
PCB 167,0.00003,0.00003
PCB 156,0.00003,0.00003
PCB 157,0.00003,0.00003
PCB 189,0.00003,0.00003
Total-TEQ,0,0
